품명,색상,사이즈,단가,수량,금액,미송여부
단추슈트,블랙,m,13000,2,26000,N
당근상하복,핑크,m,14000,1,14000,N
당근풍선 셋트,크림,I,15000,1,15000,N
들꽃고쟁이,엘로우,S,7000,1,7000,N
라임 슈트,옐로우,m,13000,1,13000,N
루돌프미니슈트,그린,M,18000,1,18000,N
루돌프미니슈트,레드,M,18000,1,18000,N
리본 부츠컷 세트,베이지,XL,20000,1,20000,N
마카롱부츠컷 세트,블랙,XL,10000,1,10000,N
모자곰 상하,블럭,s,16000,1,16000,N
모자곰상하,블랙,m,16000,1,16000,N
모자곰 상하,베이지,1,16000,1,16000,N
미오팬츠 세트,멜란,S,15000,1,15000,N
미오팬츠 세트,멜란,XL,15000,1,15000,N
버블세트,크림,XL,14000,1,14000,N
베베미키T,블랙,m,8000,2,16000,N
아이린조끼 셋트,블럭,m,18000,1,18000,N
아이린조끼 셋트,블럭,I,18000,16,288000,N
안녕미키 슈트,그린,s,15000,1,15000,N
안녕미키 슈트,오렌지,s,15000,1,15000,N
엘시원피스,크림,M,16000,1,16000,N
엘사원피스,보라,L,16000,1,16000,N
와플강아지 세트,베이지,s,16000,1,16000,N
와플강아지 세트,크림,XL,16000,1,16000,N
와플수면 쪼끼,베이지,S,11000,1,11000,N
와플수면 쪼끼,베이지,M,11000,1,11000,N
와플수면 쪼끼,크림,S,11000,2,22000,N
와플수면 쪼끼,크림,M,11000,2,22000,N
자수미키세트,오렌지,XL,15000,2,30000,N
파리벨로아세트,그레이,L,15000,1,15000,N
포인트미키세트,퍼플,s,17000,1,17000,N
하이 스마일 세트,오트밀,I,15000,1,15000,N
하트가디건,그레이,s,12000,1,12000,N
하트카라 슈트,블랙,m,16000,1,16000,N
하트컨디세트,레드,m,14000,1,14000,N
하트컨디세트,블랙,m,14000,2,28000,N
해피미키 슈트,블랙,s,15000,1,15000,N
