품명,색상,사이즈,단가,수량,금액,미송여부
데님와이드팬츠,진청,JS,20000,1,18000,N
데님와이드팬츠,진청,M,19000,1,17100,N
데님와이드팬츠,진청,S,19000,1,17100,N
데님와이드팬츠,진청,XL,19000,1,17100,N
로엠레이스셋업,베이지,L,26000,1,23400,N
베이직셔링티,블랙,XL,10000,1,9000,N
베이직셔링티,아이,L,10000,1,9000,N
베이직셔링티,아이,M,10000,1,9000,N
베이직셔링티,아이,S,10000,1,9000,N
베이직셔링티,핑크,M,10000,1,9000,N
뷔스띠에원피스,블랙,S,25000,1,22500,N
뷔스띠에원피스,블랙,M,25000,1,22500,N
블리샤스커트,블랙,L,29000,1,26100,N
스티치데님스커트,블랙진,L,18000,1,16200,N
스티치데님자켓,블랙진,M,31000,1,27900,N
텐셀티,아이,M,9000,1,8100,N
트윙클셋업,핑크,S,34000,1,30600,N
트윙클셋업,핑크,XL,34000,1,30600,N
피치캉캉팬츠,블랙,M,19000,1,17100,N
M+ 코튼플라워팬츠,민트,XL,14000,1,12600,N
M+ 코튼플라워팬츠,블랙,XL,14000,1,12600,N
다이아나패딩,베이지,,0,1,0,Y
다이아나패딩,베이지,IXL,0,1,0,Y
다이아나패딩,베이지,IXS,0,1,0,Y
베이직셔링티,블랙,L,0,1,0,Y
베이직셔링티,아이,M,0,1,0,Y
쫀쫀단가라티,아이,S,0,1,0,Y
코튼플라워팬츠,민트,M,0,1,0,Y
코튼플라워팬츠,민트,IS,0,1,0,Y
코튼플라워팬츠,민트,IXL,0,1,0,Y
코튼플라워팬츠,블랙,L,0,1,0,Y
코튼플라워팬츠,블랙,XL,0,1,0,Y
