품명,색상,사이즈,단가,수량,금액,미송여부
1995자수맨투맨,진핑크,S,12000,1,12000,N
넘김스판면바지,검정,L,13000,1,13000,N
더블스판부츠컷,검정,JS,12000,1,12000,Y
더블스판부츠컷,검정,JM,12000,1,12000,Y
라벨건빵와이드,메란지,JM,12000,1,12000,Y
라벨건빵와이드,메란지,S,10000,1,10000,Y
러브자수맨투맨,크림,S,13000,1,13000,N
레이스크롭티,아이,M,8000,1,8000,Y
레이어드리본세트,검정,S,14000,1,14000,N
리본골지상하복,검정,XL,15000,1,15000,N
리본크롭날라리티,검정,S,8000,1,8000,N
리본크롭날라리티,검정,L,8000,1,8000,Y
리본크롭날라리티,검정,XL,8000,1,8000,Y
리본크롭날라리티,핑크,M,8000,1,8000,N
리본크롭날라리티,핑크,L,8000,1,8000,Y
리본크롬날라리티,핑크,XL,8000,1,8000,N
밑단셔링롱티,아이,M,10000,1,10000,N
베이커맨투맨,체리핑크,JS,14000,1,14000,N
스탠아노락맨투맨,검정,JS,16000,1,16000,N
쫀쫀스판카고팬츠,검정,L,16000,1,16000,N
쫀쫀스판카고팬츠,크림,L,16000,1,16000,N
