품명,색상,사이즈,단가,수량,금액,미송여부
(기획)애니멀가을SET,노랑,L,11000,1,11000,Y
(기획)애니멀가을SET,레드,L,11000,1,11000,Y
라라카라SET,핑크,S,24000,1,24000,Y
레이스패치MTM,곤색,L,13000,1,13000,Y
롱앤삭스,아이,F,4000,1,4000,Y
라인리본SK,밤색,S,13000,1,13000,Y
모네PT,인핑,S,13000,2,26000,Y
모네PT,인핑,M,13000,1,13000,Y
스윗리본MTM,핑크,S,12000,1,12000,Y
스쿨베어MTM,크림,L,11000,1,11000,Y
스퀘어PT,검정,S,19000,1,19000,Y
스퀘어PT,검정,M,19000,2,38000,Y
스퀘어PT,카키,S,19000,2,38000,Y
스퀘어PT,카키,M,19000,1,19000,Y
스퀘어PT,카키,L,19000,2,38000,Y
코튼베이직T,검정,S,6000,2,12000,Y
코튼베이직T,블루,S,6000,1,6000,Y
코튼베이직T,아이,XS,6000,1,6000,Y
코튼베이직T,아이,S,6000,2,12000,Y
코튼베이직T,인핑,S,6000,1,6000,Y
핀하트T,크림,S,9000,1,9000,Y
핀하트T,크림,XL,9000,1,9000,Y
하코PT,먹색,S,13000,1,13000,Y
하코PT,크림,S,13000,2,26000,Y
하코PT,크림,L,13000,1,13000,Y
(기획)악어카라SET,베이지,S,14000,1,14000,Y
(기획)악어카라SET,베이지,L,14000,1,14000,Y
(기획)악어카라SET,블랙,M,14000,1,14000,Y
(기획)악어카라SET,블랙,XL,14000,1,14000,Y
(기획)애니멀가을SET,초록,L,11000,1,11000,N
나우래빗T,핑크,S,9000,1,9000,N
도트PT,먹색,S,13000,1,13000,N
라라카라SET,오트밀,S,24000,1,24000,N
라라카라SET,핑크,M,24000,1,24000,N
레이스패치MTM,메란,XS,13000,2,26000,N
롱앤삭스,검정,F,4000,1,4000,N
비비레이스MTM,레드,L,13000,1,13000,N
소프트랍바T,연베,L,9000,1,9000,N
소프트랍바T,핑크,L,9000,1,9000,N
소프트랍바PT,소라,L,9000,1,9000,N
스퀘어PT,검정,L,19000,1,19000,N
스퀘어PT,카키,XL,19000,1,19000,N
스타홀릭PT,먹색,M,15000,1,15000,N
스테이브이넥MTM,곤색,XL,11000,1,11000,N
아모르크롬T,브라운,S,9000,1,9000,N
아크데님PT,진청,S,19000,1,19000,N
아크데님PT,흑청,S,19000,1,19000,N
젤리곰MTM,라벤다,M,12000,1,12000,N
비비조이조거,메란,XS,13000,2,26000,N
코튼베이직T,인핑,XS,6000,1,6000,N
피그뽀글SET,블루,XL,26000,1,26000,N
(기획)악어카라SET,베이지,XL,14000,1,14000,N
(기획)악어카라SET,곤색,L,13000,1,13000,N
