품명,색상,사이즈,단가,수량,금액,미송여부
고방체크팬츠,브라운,L,8000,1,8000,Y
골덴조끼,크림,XL,16000,1,16000,N
골덴팬츠,크림,XS,11000,1,11000,N
도트골덴모자,브라운,free,11000,1,11000,N
머플러,블랙,free,5000,1,5000,Y
머플러,아이,free,5000,1,5000,Y
반스체크팬츠,그레이,S,15000,1,15000,N
소프트무지티,메란,S,7000,1,7000,N
소프트무지티,브라운,S,7000,1,7000,N
소프트무지티,블랙,S,7000,1,7000,N
소프트무지티,소라,S,7000,1,7000,Y
소프트무지티,아이,S,7000,1,7000,Y
아미고카라티,아이,L,13000,1,13000,N
엘린야구점퍼,메란,S,20000,1,20000,N
엘린팬츠,먹곤,XS,12000,1,12000,N
엘린팬츠,먹곤,XL,12000,1,12000,N
지젤가디건,블랙,XS,14000,1,14000,Y
프렌치팬츠,연베이지,L,10000,1,10000,Y
피그자켓,그레이,XL,18000,1,18000,N
피그자켓,베이지,S,18000,1,18000,N
골덴팬츠,크림,M,11000,1,11000,N
