품명,색상,사이즈,단가,수량,금액,미송여부
01.공룡맨투맨,블루,L,10000,1,10000,Y
01.공룡맨투맨,아이보리,XL,10000,1,10000,Y
01.공룡맨투맨,브라운,L,10000,1,10000,N
05.까델리아티,브라운,L,8000,1,8000,N
05.까멜리아티,아이보리,L,8000,3,24000,N
06.까멜리아레깅스,브라운,L,8000,1,8000,Y
07.니트베레모,검정,FREE,8000,1,8000,N
07.니트베레모,아이보리,FREE,8000,1,8000,N
08.니트카라티,베이지,M,22000,1,22000,N
09.니트베스트,아이보리,S,18000,1,18000,N
09.니트베스트,베이지,L,18000,1,18000,N
11.니트케이프티,베이지,L,24000,1,24000,N
12.니트팬츠,아이보리,S,18000,1,18000,N
13.둥근카라티,검정,M,10000,1,10000,N
13.둥근카라티,아이보리,L,10000,1,10000,N
13.둥근카라티,아이보리,XL,10000,1,10000,N
15.딸기티,아이보리,L,9000,1,9000,Y
21.르체크BL,브라운블루라인,XL,14000,1,14000,N
23.리본핀,베이지,FREE,2000,1,2000,N
24.리본바지,핑크리본,L,10000,1,10000,N
25.릴리팬츠,브라운,L,12000,2,24000,Y
26.마이맨투맨,블루버드,XL,10000,1,10000,N
26.마이맨투맨,그레이타이거,XL,10000,1,10000,Y
26.마이맨투맨,아이코끼리,M,10000,1,10000,N
26.마이맨투맨,아이검정레빗,2XL,10000,1,10000,N
26.마이맨투맨,핑크하트,2XL,10000,1,10000,N
26.마이맨투맨,아이리본,L,10000,1,10000,N
27.마이팬츠,아이검정래빗,2XL,10000,1,10000,N
27.마이팬츠,아이코끼리,M,10000,1,10000,N
27.마이팬츠,블루버드,XL,10000,1,10000,N
28.모네뜨블라우스,아이보리,L,19000,1,19000,N
29.무당벌레맨투맨,블루,M,10000,1,10000,N
29.무당벌레맨투맨,아이보리,M,10000,1,10000,Y
31.보들보들티,아이보리,M,10000,2,20000,N
31.보틀보들티,아이보리,2XL,10000,1,10000,N
31.보들보들티,핑크,M,10000,1,10000,N
31.보들보들티,핑크,L,10000,1,10000,N
31.보들보들티,핑크,2XL,10000,1,10000,N
32.봉봉바지,딸기,M,8000,1,8000,N
32.봉봉바지,꽃브라운,M,8000,1,8000,Y
32.봉봉바지,꽃브라운,L,8000,2,16000,Y
32.봉봉바지,꽃브라운,XL,8000,1,8000,N
32.봉봉바지,나뭇잎브라운,L,8000,1,8000,N
32.봉봉바지,나뭇잎브라운,XL,8000,1,8000,N
32.봉봉바지,아이보리,L,8000,1,8000,N
32.봉봉바지,블루체크,XL,8000,1,8000,N
34.봉봉BL,꽃브라운,L,19000,1,19000,Y
34.봉봉BL,아이보리,L,19000,1,19000,N
36.스무스레깅스,검정,M,8000,3,24000,N
36.스무스레깅스,브라운,M,8000,1,8000,N
36.스무스레깅스,아이보리,S,8000,1,8000,Y
37.시그니처티,핑크/아이,M,8000,1,8000,N
37.시그니처티,핑크/아이,L,8000,2,16000,N
37.시그니처티,핑크/아이,XL,8000,2,16000,N
37.시그니처티,베이지/블루,M,8000,1,8000,Y
37.시그니처티,베이지/블루,L,8000,3,24000,Y
37.시그니처티,베이지/블루,2XL,8000,1,8000,N
37.시그니처티,블랙/아이,M,8000,1,8000,Y
37.시그니처티,블랙/아이,L,8000,2,16000,Y
37.시그니처티,블랙/아이,XL,8000,1,8000,Y
37.시그니처티,아이/그레이,M,8000,2,16000,Y
37.시그니처티,아이/그레이,L,8000,2,16000,Y
37.시그니처티,베이지/그린,L,8000,2,16000,Y
40.아일렛티,블루,M,10000,1,10000,N
41.안젤라맨투맨,핑크,L,12000,1,12000,Y
41.안젤라맨투맨,브라운,L,12000,2,24000,N
42.안젤라팬츠,브라운,L,12000,3,36000,Y
42.안젤라팬츠,블루,M,12000,1,12000,N
42.안젤라팬츠,핑크,L,12000,1,12000,Y
43.에센셜티,아이보리,S,8000,1,8000,N
43.에센셜티,아이보리,M,8000,1,8000,Y
43.에센셜티,아이보리,XL,8000,1,8000,N
44.올리비아BL,브라운꽃,L,19000,1,19000,Y
45.젤리 맨투맨,브라운,L,11000,1,11000,N
46.젤리바지,아이보리,M,5000,5,25000,N
46.젤리바지,아이보리,L,5000,1,5000,N
46.젤리바지,아이보리,XL,5000,1,5000,N
46.젤리바지,브라운,M,5000,3,15000,N
